repo.id,IssueCommentEvent,IssuesEvent,PullRequestEvent,PushEvent,WatchEvent,ForkEvent,CreateEvent,PullRequestReviewCommentEvent,DeleteEvent,CommitCommentEvent,GollumEvent,ReleaseEvent,MemberEvent,PublicEvent
27,1,1,0,0,0,0,0,0,0,0,0,0,0,0
144,1,0,0,0,0,0,0,0,0,0,0,0,0,0
912,1,0,1,0,0,0,0,0,0,0,0,0,0,0
9525,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12494,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13803,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20724,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21716,0,0,0,0,1,0,0,0,0,0,0,0,0,0
52287,1,0,0,0,0,0,0,0,0,0,0,0,0,0
65252,0,0,0,0,1,0,0,0,0,0,0,0,0,0
78489,0,0,0,0,1,0,0,0,0,0,0,0,0,0
84822,0,0,0,0,1,0,0,0,0,0,0,0,0,0
96395,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100181,0,1,0,1,0,0,0,0,0,0,0,0,0,0
115341,0,0,0,0,0,1,0,0,0,0,0,0,0,0
115925,0,0,0,0,0,0,1,0,0,0,0,0,0,0
115984,0,0,0,1,0,0,0,0,0,0,0,0,0,0
117358,1,0,1,1,0,0,0,0,0,0,0,0,0,0
119609,1,0,0,0,0,0,0,0,0,0,0,0,0,0
156018,0,0,0,0,1,0,0,0,0,0,0,0,0,0
193464,0,0,0,0,1,1,0,0,0,0,0,0,0,0
197672,0,0,0,1,0,0,0,0,0,0,0,0,0,0
206084,3,0,1,0,2,1,0,0,0,0,0,0,0,0
222298,1,0,0,1,0,0,0,0,0,0,0,0,0,0
229006,1,0,0,0,0,0,0,0,0,0,0,0,0,0
229738,1,1,1,2,0,0,0,0,0,0,0,0,0,0
231339,0,0,0,0,0,1,0,0,0,0,0,0,0,0
238492,0,0,0,1,0,0,0,0,0,0,0,0,0,0
238972,1,0,0,0,0,0,0,0,0,0,0,0,0,0
247909,0,0,0,1,0,0,0,0,0,0,0,0,0,0
254092,0,0,0,0,1,0,0,0,0,0,0,0,0,0
254354,0,0,0,1,0,0,0,0,0,0,0,0,0,0
268027,0,0,0,0,1,0,0,0,0,0,0,0,0,0
275604,1,0,0,0,0,0,0,0,0,0,0,0,0,0
280749,0,0,0,0,1,0,0,0,0,0,0,0,0,0
286066,1,0,0,0,0,0,0,0,0,0,0,0,0,0
291137,0,0,0,0,1,0,0,0,0,0,0,0,0,0
299271,1,0,0,0,0,0,0,0,0,0,0,0,0,0
302322,0,0,0,2,0,0,0,0,0,0,0,0,0,0
312262,1,0,0,0,0,0,0,0,0,0,0,0,0,0
321154,0,1,0,0,0,0,0,0,0,0,0,0,0,0
335610,0,0,0,0,1,0,0,0,0,0,0,0,0,0
345280,1,0,0,1,0,0,0,2,0,0,0,0,0,0
345337,0,1,0,0,0,0,0,0,0,0,0,0,0,0
347655,0,0,1,0,0,0,0,0,0,0,0,0,0,0
349241,0,0,0,0,1,0,0,0,0,0,0,0,0,0
353561,1,0,0,0,0,0,0,0,0,0,0,0,0,0
