,actor.id,repo.id,count
0,7,538746,1
1,137,28648528,12
2,375,28546246,2
3,375,28574862,1
4,1106,2393766,1
5,1377,28646975,2
6,1378,16418633,1
7,1615,1359705,1
8,1694,3224481,2
9,2242,13793762,1
10,2242,26096589,2
11,2848,5633375,1
12,3044,22942790,1
13,3044,27831948,1
14,3202,6466760,1
15,3624,23679117,1
16,4689,27899581,1
17,4829,11164718,1
18,4829,23362570,1
19,4970,12040130,1
20,6478,28117924,1
21,6753,22535845,1
22,6831,115984,1
23,6831,28616088,1
24,7191,24661448,1
25,7471,28616410,2
26,7607,13803,1
27,8289,12544475,1
28,8633,505964,1
29,9018,17985744,1
30,11377,238492,1
31,11417,22760055,2
32,12637,9399334,3
33,13122,24548800,1
34,13516,2080922,3
35,13564,28672247,2
36,13717,20634788,1
37,14097,28677098,1
38,14994,5699974,1
39,15566,10489159,1
40,15566,10611388,2
41,17292,15001035,2
42,17978,8715146,1
43,19422,28678001,1
44,19714,28478929,1
45,19875,8973396,1
46,19950,23808489,3
47,20201,197672,1
48,20201,4302743,1
49,20232,28517428,1
50,20474,17826716,1
51,21159,27745813,4
52,21826,1755571,1
53,21826,18904157,1
54,21826,20117626,1
55,21826,21285335,1
56,22108,25711125,1
57,22410,24398157,2
58,23465,23587004,1
59,23773,117358,1
60,24036,19575934,1
61,24109,28546397,1
62,24870,28598724,1
63,24908,27546224,1
64,25086,8528208,3
65,25510,7512664,1
66,25653,20606216,2
67,25653,28230641,1
68,27622,10794423,1
69,28153,18715057,1
70,28543,28673871,1
71,28673,25138762,1
72,30442,9365475,2
73,30968,9447707,1
74,31295,13918292,1
75,31769,28677217,3
76,33424,28674894,4
77,33626,5735961,1
78,33626,28549258,1
79,34314,24113646,1
80,34314,28457115,2
81,36131,28677920,1
82,36392,19508919,1
83,36719,17152891,1
84,36808,28006164,1
85,36808,28309288,1
86,37817,1210728,1
87,39936,26354093,1
88,40180,26510424,1
89,40799,2719509,3
90,41809,1071734,1
91,42681,22087319,4
92,42846,27027721,1
93,42892,16972230,1
94,42920,27845098,1
95,43589,28468140,1
96,43683,23672808,2
97,44707,26731726,5
98,44939,10467655,3
99,44939,20682452,3
100,45143,3574573,1
101,45583,26597398,2
102,45936,28667487,2
103,46323,28157780,1
104,48235,7408076,2
105,49209,21667862,1
106,49649,17179173,1
107,49754,28218494,1
108,50139,100181,1
109,50891,23131813,2
110,50891,26407499,4
111,50891,28677563,9
112,52870,8870570,2
113,52883,27815771,1
114,52883,28677604,1
115,53352,1963492,3
116,53785,19799491,6
117,54178,28678122,1
118,54422,28452652,2
119,54470,13573866,1
120,54995,11516694,1
121,55057,28672165,2
122,55977,2202183,1
123,56633,254354,1
124,56633,1323458,1
125,56633,6943969,2
126,57142,23478996,1
127,57162,25276289,2
128,58760,28610523,1
129,58937,27485887,1
130,58937,28426815,1
131,59200,13544898,5
132,59884,20170673,1
133,60228,28168527,1
134,62708,28111766,3
135,62953,5025610,1
136,65053,1447887,2
137,65952,15177709,1
138,65952,18747374,2
139,66577,5152285,9
140,67381,28644255,1
